row	sample	page	QC	karyotype
44	160709_HMFregCPCT_FR10301974_FR10301881_CPCT02020308		p	02:00
45	160709_HMFregCPCT_FR10301974_FR10301881_CPCT02020308			02:02
46	160709_HMFregCPCT_FR12244548_FR12244645_CPCT02020318	10		01:00
47	160709_HMFregCPCT_FR12244548_FR12244645_CPCT02020318			01:01
48	160709_HMFregCPCT_FR12244548_FR12244645_CPCT02020318		r	02:01
49	160709_HMFregCPCT_FR12244548_FR12244645_CPCT02020318		r	02:00
50	160709_HMFregCPCT_FR12244548_FR12244645_CPCT02020318		r	02:02
51	160709_HMFregCPCT_FR12244567_FR12244534_CPCT02010349		p	01:00
52	160709_HMFregCPCT_FR12244567_FR12244534_CPCT02010349		p	01:01
53	160709_HMFregCPCT_FR12244567_FR12244534_CPCT02010349			02:01
54	160709_HMFregCPCT_FR12244567_FR12244534_CPCT02010349			02:00
55	160709_HMFregCPCT_FR12244567_FR12244534_CPCT02010349			02:02
56	160711_HMFregCPCT_FR03631794_FR12244647_CPCT02070011		p	01:00
57	160711_HMFregCPCT_FR03631794_FR12244647_CPCT02070011		p	01:01
58	160711_HMFregCPCT_FR03631794_FR12244647_CPCT02070011		p	02:01
59	160711_HMFregCPCT_FR03631794_FR12244647_CPCT02070011		p	02:00
60	160711_HMFregCPCT_FR03631794_FR12244647_CPCT02070011		p	02:02
61	160711_HMFregCPCT_FR12244547_FR12244646_CPCT02020319		f	01:00
62	160711_HMFregCPCT_FR12244547_FR12244646_CPCT02020319		r	01:01
63	160711_HMFregCPCT_FR12244547_FR12244646_CPCT02020319		p	02:01
64	160711_HMFregCPCT_FR12244547_FR12244646_CPCT02020319		r	02:00
65	160711_HMFregCPCT_FR12244547_FR12244646_CPCT02020319			02:02
66	160711_HMFregCPCT_FR12244551_FR12244640_CPCT02020325		p	01:00
67	160711_HMFregCPCT_FR12244551_FR12244640_CPCT02020325			01:01
68	160711_HMFregCPCT_FR12244551_FR12244640_CPCT02020325		p	02:01
69	160711_HMFregCPCT_FR12244551_FR12244640_CPCT02020325		p	02:00
70	160711_HMFregCPCT_FR12244551_FR12244640_CPCT02020325		f	02:02
71	160711_HMFregCPCT_FR12244555_FR12244643_CPCT02020315	15		01:00
72	160711_HMFregCPCT_FR12244555_FR12244643_CPCT02020315			01:01
73	160711_HMFregCPCT_FR12244555_FR12244643_CPCT02020315		r	02:01
74	160711_HMFregCPCT_FR12244555_FR12244643_CPCT02020315		r	02:00
75	160711_HMFregCPCT_FR12244555_FR12244643_CPCT02020315		p	02:02
76	160718_HMFregCPCT_FR10302970_FR12244422_CPCT02040021	16	r	01:00
77	160718_HMFregCPCT_FR10302970_FR12244422_CPCT02040021		p	01:01
78	160718_HMFregCPCT_FR10302970_FR12244422_CPCT02040021		p	02:01
79	160718_HMFregCPCT_FR10302970_FR12244422_CPCT02040021		p	02:00
80	160718_HMFregCPCT_FR10302970_FR12244422_CPCT02040021			02:02
81	160718_HMFregCPCT_FR12244546_FR12244639_CPCT02020321	17		01:00
82	160718_HMFregCPCT_FR12244546_FR12244639_CPCT02020321			01:01
83	160718_HMFregCPCT_FR12244546_FR12244639_CPCT02020321			02:01
84	160718_HMFregCPCT_FR12244546_FR12244639_CPCT02020321			02:00
85	160718_HMFregCPCT_FR12244546_FR12244639_CPCT02020321			02:02
86	160718_HMFregCPCT_FR12244550_FR12244638_CPCT02020317	18	p	01:00
87	160718_HMFregCPCT_FR12244550_FR12244638_CPCT02020317		p	01:01
88	160718_HMFregCPCT_FR12244550_FR12244638_CPCT02020317		f	02:01
89	160718_HMFregCPCT_FR12244550_FR12244638_CPCT02020317		f	02:00
90	160718_HMFregCPCT_FR12244550_FR12244638_CPCT02020317		f	02:02
91	160718_HMFregCPCT_FR12244552_FR12244421_CPCT02020323	19	p	01:00
92	160718_HMFregCPCT_FR12244552_FR12244421_CPCT02020323		p	01:01
93	160718_HMFregCPCT_FR12244552_FR12244421_CPCT02020323			02:01
94	160718_HMFregCPCT_FR12244552_FR12244421_CPCT02020323			02:00
95	160718_HMFregCPCT_FR12244552_FR12244421_CPCT02020323			02:02
96	160718_HMFregCPCT_FR12254658_FR12244450_CPCT02080016	20		01:00
97	160718_HMFregCPCT_FR12254658_FR12244450_CPCT02080016		p	01:01
98	160718_HMFregCPCT_FR12254658_FR12244450_CPCT02080016		p	02:01
99	160718_HMFregCPCT_FR12254658_FR12244450_CPCT02080016		p	02:00
100	160718_HMFregCPCT_FR12254658_FR12244450_CPCT02080016		p	02:02
101	160718_HMFregCPCT_FR12254731_FR12244449_CPCT02020330	21	r	01:00
102	160718_HMFregCPCT_FR12254731_FR12244449_CPCT02020330		f	01:01
103	160718_HMFregCPCT_FR12254731_FR12244449_CPCT02020330		p	02:01
104	160718_HMFregCPCT_FR12254731_FR12244449_CPCT02020330		p	02:00
105	160718_HMFregCPCT_FR12254731_FR12244449_CPCT02020330		f	02:02
106	160719_HMFregCPCT_FR10301994_FR10301882_CPCT02020305	22		01:00
107	160719_HMFregCPCT_FR10301994_FR10301882_CPCT02020305			01:01
108	160719_HMFregCPCT_FR10301994_FR10301882_CPCT02020305			02:01
109	160719_HMFregCPCT_FR10301994_FR10301882_CPCT02020305		p	02:00
110	160719_HMFregCPCT_FR10301994_FR10301882_CPCT02020305		f	02:02
111	160721_HMFregCPCT_FR12244674_FR12244459_CPCT02020333	23	p	01:00
112	160721_HMFregCPCT_FR12244674_FR12244459_CPCT02020333		r	01:01
113	160721_HMFregCPCT_FR12244674_FR12244459_CPCT02020333		p	02:01
114	160721_HMFregCPCT_FR12244674_FR12244459_CPCT02020333		r	02:00
115	160721_HMFregCPCT_FR12244674_FR12244459_CPCT02020333		r	02:02
116	160721_HMFregCPCT_FR12244680_FR12244452_CPCT02010352	24		01:00
117	160721_HMFregCPCT_FR12244680_FR12244452_CPCT02010352			01:01
118	160721_HMFregCPCT_FR12244680_FR12244452_CPCT02010352			02:01
119	160721_HMFregCPCT_FR12244680_FR12244452_CPCT02010352			02:00
120	160721_HMFregCPCT_FR12244680_FR12244452_CPCT02010352			02:02
121	160721_HMFregCPCT_FR12244683_FR12244453_CPCT02010356	25	f	01:00
122	160721_HMFregCPCT_FR12244683_FR12244453_CPCT02010356		p	01:01
123	160721_HMFregCPCT_FR12244683_FR12244453_CPCT02010356		p	02:01
124	160721_HMFregCPCT_FR12244683_FR12244453_CPCT02010356		p	02:00
125	160721_HMFregCPCT_FR12244683_FR12244453_CPCT02010356		p	02:02
126	160721_HMFregCPCT_FR12244686_FR12244455_CPCT02010359	26	p	01:00
127	160721_HMFregCPCT_FR12244686_FR12244455_CPCT02010359		p	01:01
128	160721_HMFregCPCT_FR12244686_FR12244455_CPCT02010359		p	02:01
129	160721_HMFregCPCT_FR12244686_FR12244455_CPCT02010359		p	02:00
130	160721_HMFregCPCT_FR12244686_FR12244455_CPCT02010359		p	02:02
131	160721_HMFregCPCT_FR12254639_FR12244447_CPCT02050043	27	p	01:00
132	160721_HMFregCPCT_FR12254639_FR12244447_CPCT02050043		p	01:01
133	160721_HMFregCPCT_FR12254639_FR12244447_CPCT02050043		p	02:01
134	160721_HMFregCPCT_FR12254639_FR12244447_CPCT02050043		p	02:00
135	160721_HMFregCPCT_FR12254639_FR12244447_CPCT02050043			02:02
136	160725_HMFregCPCT_FR03631796_FR10302571_CPCT02140007	28		01:00
137	160725_HMFregCPCT_FR03631796_FR10302571_CPCT02140007			01:01
138	160725_HMFregCPCT_FR03631796_FR10302571_CPCT02140007		p	02:01
139	160725_HMFregCPCT_FR03631796_FR10302571_CPCT02140007		p	02:00
140	160725_HMFregCPCT_FR03631796_FR10302571_CPCT02140007		p	02:02
141	160725_HMFregCPCT_FR03631914_FR10302575_CPCT02010370	29	p	01:00
142	160725_HMFregCPCT_FR03631914_FR10302575_CPCT02010370		p	01:01
143	160725_HMFregCPCT_FR03631914_FR10302575_CPCT02010370		p	02:01
144	160725_HMFregCPCT_FR03631914_FR10302575_CPCT02010370			02:00
145	160725_HMFregCPCT_FR03631914_FR10302575_CPCT02010370			02:02
146	160725_HMFregCPCT_FR03631919_FR10302569_CPCT02140011	30	p	01:00
147	160725_HMFregCPCT_FR03631919_FR10302569_CPCT02140011		p	01:01
148	160725_HMFregCPCT_FR03631919_FR10302569_CPCT02140011		p	02:01
149	160725_HMFregCPCT_FR03631919_FR10302569_CPCT02140011		f	02:00
150	160725_HMFregCPCT_FR03631919_FR10302569_CPCT02140011		f	02:02
151	160725_HMFregCPCT_FR03631924_FR10302574_CPCT02020337	31	p	01:00
152	160725_HMFregCPCT_FR03631924_FR10302574_CPCT02020337		p	01:01
153	160725_HMFregCPCT_FR03631924_FR10302574_CPCT02020337		p	02:01
154	160725_HMFregCPCT_FR03631924_FR10302574_CPCT02020337		f	02:00
155	160725_HMFregCPCT_FR03631924_FR10302574_CPCT02020337		p	02:02
156	160725_HMFregCPCT_FR03631931_FR10302577_CPCT02010372	32	p	01:00
157	160725_HMFregCPCT_FR03631931_FR10302577_CPCT02010372		p	01:01
158	160725_HMFregCPCT_FR03631931_FR10302577_CPCT02010372		p	02:01
159	160725_HMFregCPCT_FR03631931_FR10302577_CPCT02010372		p	02:00
160	160725_HMFregCPCT_FR03631931_FR10302577_CPCT02010372		p	02:02
161	160725_HMFregCPCT_FR12244553_FR10302567_CPCT02020322	33		01:00
162	160725_HMFregCPCT_FR12244553_FR10302567_CPCT02020322			01:01
163	160725_HMFregCPCT_FR12244553_FR10302567_CPCT02020322		r	02:01
164	160725_HMFregCPCT_FR12244553_FR10302567_CPCT02020322		f	02:00
165	160725_HMFregCPCT_FR12244553_FR10302567_CPCT02020322		p	02:02
166	160725_HMFregCPCT_FR12244679_FR10302566_CPCT02010351	34	r	01:00
167	160725_HMFregCPCT_FR12244679_FR10302566_CPCT02010351		p	01:01
168	160725_HMFregCPCT_FR12244679_FR10302566_CPCT02010351		p	02:01
169	160725_HMFregCPCT_FR12244679_FR10302566_CPCT02010351		p	02:00
170	160725_HMFregCPCT_FR12244679_FR10302566_CPCT02010351		p	02:02
171	160731_HMFregCPCT_FR03631944_FR10302582_CPCT02010362	35		01:00
172	160731_HMFregCPCT_FR03631944_FR10302582_CPCT02010362		r	01:01
173	160731_HMFregCPCT_FR03631944_FR10302582_CPCT02010362		p	02:01
174	160731_HMFregCPCT_FR03631944_FR10302582_CPCT02010362			02:00
175	160731_HMFregCPCT_FR03631944_FR10302582_CPCT02010362			02:02
176	160802_HMFregCPCT_FR03631910_FR12244691_CPCT02110003	36		01:00
177	160802_HMFregCPCT_FR03631910_FR12244691_CPCT02110003			01:01
178	160802_HMFregCPCT_FR03631910_FR12244691_CPCT02110003		f	02:01
179	160802_HMFregCPCT_FR03631910_FR12244691_CPCT02110003		p	02:00
180	160802_HMFregCPCT_FR03631910_FR12244691_CPCT02110003		p	02:02
181	160802_HMFregCPCT_FR03631920_FR12244692_CPCT02110004	37		01:00
182	160802_HMFregCPCT_FR03631920_FR12244692_CPCT02110004		r	01:01
183	160802_HMFregCPCT_FR03631920_FR12244692_CPCT02110004		p	02:01
184	160802_HMFregCPCT_FR03631920_FR12244692_CPCT02110004		p	02:00
185	160802_HMFregCPCT_FR03631920_FR12244692_CPCT02110004		p	02:02
186	160802_HMFregCPCT_FR03631927_FR12244690_CPCT02140012	38	f	01:00
187	160802_HMFregCPCT_FR03631927_FR12244690_CPCT02140012		p	01:01
188	160802_HMFregCPCT_FR03631927_FR12244690_CPCT02140012		f	02:01
189	160802_HMFregCPCT_FR03631927_FR12244690_CPCT02140012		p	02:00
190	160802_HMFregCPCT_FR03631927_FR12244690_CPCT02140012			02:02
191	160802_HMFregCPCT_FR12244664_FR12251615_CPCT02040027	39		01:00
192	160802_HMFregCPCT_FR12244664_FR12251615_CPCT02040027			01:01
193	160802_HMFregCPCT_FR12244664_FR12251615_CPCT02040027		p	02:01
194	160802_HMFregCPCT_FR12244664_FR12251615_CPCT02040027		p	02:00
195	160802_HMFregCPCT_FR12244664_FR12251615_CPCT02040027		f	02:02
196	160805_HMFregCPCT_FR03631936_FR12251628_CPCT02040031	40		01:00
197	160805_HMFregCPCT_FR03631936_FR12251628_CPCT02040031		p	01:01
198	160805_HMFregCPCT_FR03631936_FR12251628_CPCT02040031		p	02:01
199	160805_HMFregCPCT_FR03631936_FR12251628_CPCT02040031		f	02:00
200	160805_HMFregCPCT_FR03631936_FR12251628_CPCT02040031		p	02:02
201	160805_HMFregCPCT_FR03631937_FR12244697_CPCT02020341	41	p	01:00
202	160805_HMFregCPCT_FR03631937_FR12244697_CPCT02020341		p	01:01
203	160805_HMFregCPCT_FR03631937_FR12244697_CPCT02020341		r	02:01
204	160805_HMFregCPCT_FR03631937_FR12244697_CPCT02020341		p	02:00
205	160805_HMFregCPCT_FR03631937_FR12244697_CPCT02020341			02:02
206	160805_HMFregCPCT_FR03631940_FR12244699_CPCT02010373	42	p	01:00
207	160805_HMFregCPCT_FR03631940_FR12244699_CPCT02010373		p	01:01
208	160805_HMFregCPCT_FR03631940_FR12244699_CPCT02010373		p	02:01
209	160805_HMFregCPCT_FR03631940_FR12244699_CPCT02010373		r	02:00
210	160805_HMFregCPCT_FR03631940_FR12244699_CPCT02010373		r	02:02
211	160805_HMFregCPCT_FR10302554_FR12244693_CPCT02080025	43		01:00
212	160805_HMFregCPCT_FR10302554_FR12244693_CPCT02080025		f	01:01
213	160805_HMFregCPCT_FR10302554_FR12244693_CPCT02080025		p	02:01
214	160805_HMFregCPCT_FR10302554_FR12244693_CPCT02080025		f	02:00
215	160805_HMFregCPCT_FR10302554_FR12244693_CPCT02080025		p	02:02
216	160805_HMFregCPCT_FR10302556_FR12244695_CPCT02080022	44	r	01:00
217	160805_HMFregCPCT_FR10302556_FR12244695_CPCT02080022		p	01:01
218	160805_HMFregCPCT_FR10302556_FR12244695_CPCT02080022		p	02:01
219	160805_HMFregCPCT_FR10302556_FR12244695_CPCT02080022			02:00
220	160805_HMFregCPCT_FR10302556_FR12244695_CPCT02080022			02:02
221	160805_HMFregCPCT_FR10302560_FR12244696_CPCT02080024	45	p	01:00
222	160805_HMFregCPCT_FR10302560_FR12244696_CPCT02080024		p	01:01
223	160805_HMFregCPCT_FR10302560_FR12244696_CPCT02080024		p	02:01
224	160805_HMFregCPCT_FR10302560_FR12244696_CPCT02080024		p	02:00
225	160805_HMFregCPCT_FR10302560_FR12244696_CPCT02080024		p	02:02
226	160808_HMFregCPCT_FR03631795_FR12251564_CPCT02100013	46	p	01:00
227	160808_HMFregCPCT_FR03631795_FR12251564_CPCT02100013		p	01:01
228	160808_HMFregCPCT_FR03631795_FR12251564_CPCT02100013		p	02:01
229	160808_HMFregCPCT_FR03631795_FR12251564_CPCT02100013		p	02:00
230	160808_HMFregCPCT_FR03631795_FR12251564_CPCT02100013			02:02
231	160808_HMFregCPCT_FR03631929_FR12251528_CPCT02100017	47	r	01:00
232	160808_HMFregCPCT_FR03631929_FR12251528_CPCT02100017		p	01:01
233	160808_HMFregCPCT_FR03631929_FR12251528_CPCT02100017		f	02:01
234	160808_HMFregCPCT_FR03631929_FR12251528_CPCT02100017		f	02:00
235	160808_HMFregCPCT_FR03631929_FR12251528_CPCT02100017		p	02:02
236	160808_HMFregCPCT_FR03631933_FR12251627_CPCT02020340	48	p	01:00
237	160808_HMFregCPCT_FR03631933_FR12251627_CPCT02020340		p	01:01
238	160808_HMFregCPCT_FR03631933_FR12251627_CPCT02020340		p	02:01
239	160808_HMFregCPCT_FR03631933_FR12251627_CPCT02020340		p	02:00
240	160808_HMFregCPCT_FR03631933_FR12251627_CPCT02020340			02:02
241	160808_HMFregCPCT_FR03631941_FR12251637_CPCT02020342	49	f	01:00
242	160808_HMFregCPCT_FR03631941_FR12251637_CPCT02020342		p	01:01
243	160808_HMFregCPCT_FR03631941_FR12251637_CPCT02020342		p	02:01
244	160808_HMFregCPCT_FR03631941_FR12251637_CPCT02020342			02:00
245	160808_HMFregCPCT_FR03631941_FR12251637_CPCT02020342			02:02
246	160808_HMFregCPCT_FR03631942_FR12251621_CPCT02010377	50		01:00
247	160808_HMFregCPCT_FR03631942_FR12251621_CPCT02010377			01:01
248	160808_HMFregCPCT_FR03631942_FR12251621_CPCT02010377		p	02:01
249	160808_HMFregCPCT_FR03631942_FR12251621_CPCT02010377		r	02:00
250	160808_HMFregCPCT_FR03631942_FR12251621_CPCT02010377		r	02:02
251	160808_HMFregCPCT_FR10302722_FR10302578_CPCT02010371	51		01:00
252	160808_HMFregCPCT_FR10302722_FR10302578_CPCT02010371		p	01:01
253	160808_HMFregCPCT_FR10302722_FR10302578_CPCT02010371		p	02:01
254	160808_HMFregCPCT_FR10302722_FR10302578_CPCT02010371		p	02:00
255	160808_HMFregCPCT_FR10302722_FR10302578_CPCT02010371		p	02:02
256	160808_HMFregCPCT_FR10302723_FR12244457_CPCT02020326	52	p	01:00
257	160808_HMFregCPCT_FR10302723_FR12244457_CPCT02020326		p	01:01
258	160808_HMFregCPCT_FR10302723_FR12244457_CPCT02020326		p	02:01
259	160808_HMFregCPCT_FR10302723_FR12244457_CPCT02020326			02:00
260	160808_HMFregCPCT_FR10302723_FR12244457_CPCT02020326			02:02
261	160808_HMFregCPCT_FR10302730_FR10302576_CPCT02010369	53	r	01:00
262	160808_HMFregCPCT_FR10302730_FR10302576_CPCT02010369		p	01:01
263	160808_HMFregCPCT_FR10302730_FR10302576_CPCT02010369		p	02:01
264	160808_HMFregCPCT_FR10302730_FR10302576_CPCT02010369		f	02:00
265	160808_HMFregCPCT_FR10302730_FR10302576_CPCT02010369		p	02:02
266	160810_HMFregCPCT_FR10302548_FR12244689_CPCT02030256	54	p	01:00
267	160810_HMFregCPCT_FR10302548_FR12244689_CPCT02030256		p	01:01
268	160810_HMFregCPCT_FR10302548_FR12244689_CPCT02030256		p	02:01
269	160810_HMFregCPCT_FR10302548_FR12244689_CPCT02030256		p	02:00
270	160810_HMFregCPCT_FR10302548_FR12244689_CPCT02030256			02:02
271	160813_HMFregCPCT_FR10302555_FR12251525_CPCT02100021	55		01:00
272	160813_HMFregCPCT_FR10302555_FR12251525_CPCT02100021		p	01:01
273	160813_HMFregCPCT_FR10302555_FR12251525_CPCT02100021		f	02:01
274	160813_HMFregCPCT_FR10302555_FR12251525_CPCT02100021		f	02:00
275	160813_HMFregCPCT_FR10302555_FR12251525_CPCT02100021		f	02:02
276	160813_HMFregCPCT_FR10302561_FR12251598_CPCT02020345	56		01:00
277	160813_HMFregCPCT_FR10302561_FR12251598_CPCT02020345		p	01:01
278	160813_HMFregCPCT_FR10302561_FR12251598_CPCT02020345		p	02:01
279	160813_HMFregCPCT_FR10302561_FR12251598_CPCT02020345			02:00
280	160813_HMFregCPCT_FR10302561_FR12251598_CPCT02020345		p	02:02
281	160813_HMFregCPCT_FR10302562_FR12251703_CPCT02020344	57	r	01:00
282	160813_HMFregCPCT_FR10302562_FR12251703_CPCT02020344		p	01:01
283	160813_HMFregCPCT_FR10302562_FR12251703_CPCT02020344		p	02:01
284	160813_HMFregCPCT_FR10302562_FR12251703_CPCT02020344		p	02:00
285	160813_HMFregCPCT_FR10302562_FR12251703_CPCT02020344		p	02:02
286	160813_HMFregCPCT_FR12251589_FR12251671_CPCT02020343	58	r	01:00
287	160813_HMFregCPCT_FR12251589_FR12251671_CPCT02020343		f	01:01
288	160813_HMFregCPCT_FR12251589_FR12251671_CPCT02020343		f	02:01
289	160813_HMFregCPCT_FR12251589_FR12251671_CPCT02020343		r	02:00
290	160813_HMFregCPCT_FR12251589_FR12251671_CPCT02020343			02:02
291	160813_HMFregCPCT_FR12251640_FR12251531_CPCT02020347	59		01:00
292	160813_HMFregCPCT_FR12251640_FR12251531_CPCT02020347			01:01
293	160813_HMFregCPCT_FR12251640_FR12251531_CPCT02020347		f	02:01
294	160813_HMFregCPCT_FR12251640_FR12251531_CPCT02020347		p	02:00
295	160813_HMFregCPCT_FR12251640_FR12251531_CPCT02020347		p	02:02
296	160813_HMFregCPCT_FR12251693_FR12251634_CPCT02100020	60	f	01:00
297	160813_HMFregCPCT_FR12251693_FR12251634_CPCT02100020		p	01:01
298	160813_HMFregCPCT_FR12251693_FR12251634_CPCT02100020		p	02:01
299	160813_HMFregCPCT_FR12251693_FR12251634_CPCT02100020		f	02:00
300	160813_HMFregCPCT_FR12251693_FR12251634_CPCT02100020			02:02
301	160815_HMFregCPCT_FR12251696_FR12251687_CPCT02100024	61		01:00
302	160815_HMFregCPCT_FR12251696_FR12251687_CPCT02100024		p	01:01
303	160815_HMFregCPCT_FR12251696_FR12251687_CPCT02100024		p	02:01
304	160815_HMFregCPCT_FR12251696_FR12251687_CPCT02100024		r	02:00
305	160815_HMFregCPCT_FR12251696_FR12251687_CPCT02100024		f	02:02
306	160815_HMFregCPCT_FR12254126_FR12251673_CPCT02100023	62	r	01:00
307	160815_HMFregCPCT_FR12254126_FR12251673_CPCT02100023		p	01:01
308	160815_HMFregCPCT_FR12254126_FR12251673_CPCT02100023		p	02:01
309	160815_HMFregCPCT_FR12254126_FR12251673_CPCT02100023		p	02:00
310	160815_HMFregCPCT_FR12254126_FR12251673_CPCT02100023		p	02:02
311	160825_HMFregCPCT_FR10302550_FR12254224_CPCT02010366	63		01:00
312	160825_HMFregCPCT_FR10302550_FR12254224_CPCT02010366			01:01
313	160825_HMFregCPCT_FR10302550_FR12254224_CPCT02010366			02:01
314	160825_HMFregCPCT_FR10302550_FR12254224_CPCT02010366			02:00
315	160825_HMFregCPCT_FR10302550_FR12254224_CPCT02010366			02:02
316	160827_HMFregCPCT_FR10302717_FR12251692_CPCT02030262	64	p	01:00
317	160827_HMFregCPCT_FR10302717_FR12251692_CPCT02030262		p	01:01
318	160827_HMFregCPCT_FR10302717_FR12251692_CPCT02030262		p	02:01
319	160827_HMFregCPCT_FR10302717_FR12251692_CPCT02030262		f	02:00
320	160827_HMFregCPCT_FR10302717_FR12251692_CPCT02030262		p	02:02
321	160827_HMFregCPCT_FR12251561_FR12251651_CPCT02010383	65		01:00
322	160827_HMFregCPCT_FR12251561_FR12251651_CPCT02010383			01:01
323	160827_HMFregCPCT_FR12251561_FR12251651_CPCT02010383			02:01
324	160827_HMFregCPCT_FR12251561_FR12251651_CPCT02010383			02:00
325	160827_HMFregCPCT_FR12251561_FR12251651_CPCT02010383			02:02
326	160827_HMFregCPCT_FR12251681_FR12254251_CPCT02030257	66	p	01:00
327	160827_HMFregCPCT_FR12251681_FR12254251_CPCT02030257		p	01:01
328	160827_HMFregCPCT_FR12251681_FR12254251_CPCT02030257		p	02:01
329	160827_HMFregCPCT_FR12251681_FR12254251_CPCT02030257		f	02:00
330	160827_HMFregCPCT_FR12251681_FR12254251_CPCT02030257		p	02:02
331	160827_HMFregCPCT_FR12254164_FR12251532_CPCT02010378	67		01:00
332	160827_HMFregCPCT_FR12254164_FR12251532_CPCT02010378			01:01
333	160827_HMFregCPCT_FR12254164_FR12251532_CPCT02010378			02:01
334	160827_HMFregCPCT_FR12254164_FR12251532_CPCT02010378			02:00
335	160827_HMFregCPCT_FR12254164_FR12251532_CPCT02010378			02:02
336	160829_HMFregCPCT_FR10302727_FR12251684_CPCT02080027	68	r	01:00
337	160829_HMFregCPCT_FR10302727_FR12251684_CPCT02080027		f	01:01
338	160829_HMFregCPCT_FR10302727_FR12251684_CPCT02080027		p	02:01
339	160829_HMFregCPCT_FR10302727_FR12251684_CPCT02080027		f	02:00
340	160829_HMFregCPCT_FR10302727_FR12251684_CPCT02080027		p	02:02
341	160830_HMFregCPCT_FR03631915_FR12251706_CPCT02140010	69	p	01:00
342	160830_HMFregCPCT_FR03631915_FR12251706_CPCT02140010		p	01:01
343	160830_HMFregCPCT_FR03631915_FR12251706_CPCT02140010		p	02:01
344	160830_HMFregCPCT_FR03631915_FR12251706_CPCT02140010			02:00
345	160830_HMFregCPCT_FR03631915_FR12251706_CPCT02140010			02:02
346	160830_HMFregCPCT_FR10302546_FR10304567_CPCT02050045	70	p	01:00
347	160830_HMFregCPCT_FR10302546_FR10304567_CPCT02050045		p	01:01
348	160830_HMFregCPCT_FR10302546_FR10304567_CPCT02050045		p	02:01
349	160830_HMFregCPCT_FR10302546_FR10304567_CPCT02050045		p	02:00
350	160830_HMFregCPCT_FR10302546_FR10304567_CPCT02050045			02:02
351	160830_HMFregCPCT_FR10302709_FR10304575_CPCT02020353	71	p	01:00
